C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.151,0.26,1.26,0.011,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.033,0.02,0.014,0.37,605,18,9,19.45,1161,1114,879,794,1191,539,423,28.0
0.151,0.26,1.26,0.011,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.033,0.02,0.014,0.37,614,18,9,19.45,1158,1114,879,793,1201,529,418,27.5
0.151,0.26,1.26,0.011,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.033,0.02,0.014,0.37,600,16,7,15.45,1161,1114,907,837,1188,526,400,28.0
0.154,0.28,1.25,0.014,0.003,0.02,0.01,0.01,0.001,0.002,0.002,0.035,0.019,0.013,0.37,590,16,9,20.0,1174,1122,883,813,1199,526,441,25.0
0.15,0.29,1.24,0.012,0.002,0.02,0.01,0.01,0.001,0.002,0.002,0.034,0.018,0.013,0.36,601,14,7,19.4,1170,1118,878,821,1210,531,401,28.0
0.15,0.29,1.24,0.012,0.002,0.02,0.01,0.01,0.001,0.002,0.002,0.034,0.018,0.013,0.36,602,14,7,18.45,1165,1113,881,817,1201,534,430,30.0
0.15,0.26,1.29,0.014,0.003,0.02,0.01,0.01,0.001,0.002,0.002,0.032,0.02,0.013,0.37,602,14,7,17.65,1176,1127,902,846,1198,538,438,29.5
0.15,0.26,1.29,0.014,0.003,0.02,0.01,0.01,0.001,0.002,0.002,0.032,0.02,0.013,0.37,605,14,7,16.75,1174,1124,897,836,1189,544,412,27.0
0.152,0.31,1.24,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.036,0.017,0.012,0.36,14,12,7,15.62,1183,1134,925,852,1214,537,426,28.0
0.152,0.31,1.24,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.036,0.017,0.012,0.36,16,12,7,15.47,1191,1136,903,823,1210,537,463,29.0
0.156,0.26,1.25,0.015,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.034,0.016,0.013,0.37,584,16,9,39.66,1185,1135,869,834,1198,511,412,29.5
0.146,0.26,1.23,0.012,0.003,0.02,0.01,0.01,0.004,0.001,0.002,0.033,0.015,0.016,0.36,544,16,9,20.505000000000003,1173,1123,863,833,1193,528,397,28.0
0.148,0.26,1.22,0.014,0.006,0.02,0.01,0.01,0.004,0.002,0.002,0.035,0.017,0.013,0.36,596,14,11,20.505000000000003,1181,1129,877,831,1209,524,390,28.0
0.151,0.25,1.24,0.015,0.01,0.02,0.01,0.01,0.003,0.002,0.003,0.034,0.015,0.013,0.36,20,16,11,20.505000000000003,1178,1127,864,831,1196,515,375,28.5
0.151,0.27,1.24,0.01,0.005,0.02,0.01,0.01,0.004,0.001,0.002,0.034,0.022,0.011,0.38,588,16,9,27.6,1152,1100,843,796,1189,541,424,28.0
0.151,0.27,1.24,0.01,0.005,0.02,0.01,0.01,0.004,0.001,0.002,0.034,0.022,0.011,0.38,589,16,9,29.6,1152,1103,859,816,1194,534,414,27.5
0.151,0.27,1.24,0.01,0.005,0.02,0.01,0.01,0.004,0.001,0.002,0.034,0.022,0.011,0.38,548,16,9,29.6,1184,1130,861,818,1199,543,413,27.5
0.155,0.25,1.23,0.013,0.008,0.02,0.01,0.02,0.003,0.001,0.001,0.035,0.016,0.011,0.37,20,14,7,35.65,1181,1132,865,846,1197,503,384,27.5
0.161,0.28,1.25,0.012,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.017,0.015,0.38,572,14,7,17.6,1182,1125,877,806,1198,535,413,27.5
0.161,0.28,1.25,0.012,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.017,0.015,0.38,560,16,7,13.65,1162,1102,899,818,1194,563,449,29.5
0.16,0.26,1.23,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.043,0.017,0.013,0.37,441,14,9,22.05,1177,1124,885,804,1200,537,422,27.5
0.16,0.26,1.23,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.043,0.017,0.013,0.37,452,14,7,11.55,1186,1127,932,793,1206,545,422,30.5
0.156,0.24,1.24,0.013,0.008,0.02,0.01,0.01,0.001,0.001,0.003,0.045,0.017,0.013,0.37,403,14,7,15.15,1154,1102,913,813,1194,530,422,29.5
0.151,0.27,1.26,0.016,0.003,0.02,0.01,0.01,0.001,0.002,0.003,0.03,0.018,0.013,0.37,431,14,7,15.15,1158,1105,907,813,1187,533,428,30.0
0.156,0.24,1.24,0.013,0.008,0.02,0.01,0.01,0.001,0.001,0.003,0.045,0.017,0.013,0.37,520,14,7,15.15,1169,1115,919,817,1186,524,408,29.0
0.144,0.26,1.24,0.015,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.033,0.014,0.015,0.36,489,12,7,21.56,1188,1132,857,816,1216,535,457,27.0
0.157,0.26,1.25,0.016,0.004,0.02,0.01,0.01,0.001,0.002,0.003,0.034,0.022,0.013,0.37,170,14,7,11.63,1155,1102,881,785,1194,550,453,30.5
0.142,0.26,1.25,0.015,0.007,0.02,0.01,0.02,0.001,0.002,0.003,0.032,0.017,0.017,0.35,191,14,7,11.63,1161,1105,870,776,1203,560,472,29.0
0.144,0.26,1.23,0.018,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.032,0.016,0.015,0.36,264,14,7,11.63,1144,1093,882,788,1193,538,474,29.0
0.141,0.27,1.24,0.013,0.004,0.02,0.01,0.01,0.002,0.002,0.003,0.035,0.017,0.013,0.38,581,14,7,15.1,1174,1124,882,829,1200,551,448,27.5
0.149,0.3,1.23,0.01,0.001,0.02,0.01,0.01,0.001,0.001,0.002,0.028,0.018,0.013,0.36,566,14,7,30.05,1170,1122,864,842,1192,534,412,27.5
0.158,0.26,1.27,0.013,0.002,0.02,0.01,0.01,0.002,0.002,0.002,0.026,0.017,0.012,0.38,600,14,7,30.05,1181,1131,860,840,1200,538,420,26.5
