C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.151,0.25,1.24,0.012,0.007,0.02,0.01,0.01,0.002,0.001,0.002,0.034,0.018,0.012,0.37,33,16,9,29.6,1165,1113,859,804,1195,553,467,27.5
0.151,0.25,1.24,0.012,0.007,0.02,0.01,0.01,0.002,0.001,0.002,0.034,0.018,0.012,0.37,54,16,9,29.3,1170,1117,851,798,1193,563,463,27.5
0.162,0.24,1.28,0.013,0.004,0.02,0.01,0.01,0.003,0.002,0.003,0.031,0.019,0.012,0.38,65,16,9,29.3,1165,1111,845,793,1189,550,467,26.0
0.151,0.28,1.24,0.012,0.003,0.02,0.01,0.01,0.002,0.001,0.002,0.028,0.018,0.011,0.38,20,14,7,9.5,1165,1114,878,812,1197,525,448,26.0
0.151,0.25,1.26,0.016,0.009,0.02,0.01,0.02,0.001,0.002,0.002,0.037,0.018,0.013,0.37,20,16,9,35.66,1176,1124,847,823,1197,558,449,29.0
0.148,0.24,1.23,0.015,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.031,0.016,0.011,0.36,20,18,9,17.5,1163,1106,912,814,1176,503,383,27.5
0.156,0.25,1.26,0.017,0.007,0.02,0.01,0.01,0.002,0.002,0.002,0.033,0.02,0.011,0.37,20,14,7,7.7,1165,1114,878,820,1197,551,423,26.5
0.151,0.27,1.26,0.016,0.003,0.02,0.01,0.01,0.001,0.002,0.003,0.03,0.018,0.013,0.37,432,14,7,15.75,1154,1104,913,821,1185,522,404,30.5
0.151,0.27,1.26,0.016,0.003,0.02,0.01,0.01,0.001,0.002,0.003,0.03,0.018,0.013,0.37,443,14,7,11.5,1175,1114,944,780,1211,536,417,29.5
0.151,0.27,1.26,0.016,0.003,0.02,0.01,0.01,0.001,0.002,0.003,0.03,0.018,0.013,0.37,548,14,9,19.45,1174,1119,878,804,1214,497,381,27.5
0.151,0.27,1.26,0.016,0.003,0.02,0.01,0.01,0.001,0.002,0.003,0.03,0.018,0.013,0.37,444,12,7,15.6,1178,1126,926,837,1199,498,375,29.0
0.147,0.28,1.29,0.014,0.006,0.02,0.01,0.02,0.003,0.002,0.003,0.031,0.018,0.012,0.37,556,14,7,29.65,1140,1093,850,817,1171,525,425,28.0
0.158,0.23,1.24,0.014,0.01,0.02,0.01,0.02,0.002,0.001,0.003,0.039,0.017,0.013,0.37,20,16,9,20.505000000000003,1169,1123,879,861,1186,542,410,28.5
0.152,0.25,1.25,0.013,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.03,0.015,0.014,0.37,572,16,9,44.6,1152,1104,859,830,1195,513,362,28.0
0.149,0.29,1.23,0.014,0.008,0.02,0.01,0.02,0.003,0.002,0.002,0.037,0.018,0.013,0.37,562,16,9,40.15,1153,1102,852,826,1201,542,450,28.0
0.152,0.25,1.24,0.014,0.011,0.02,0.01,0.02,0.002,0.001,0.002,0.036,0.02,0.012,0.37,20,14,7,15.58,1183,1125,897,808,1197,511,404,28.0
0.152,0.27,1.24,0.012,0.006,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.013,0.37,20,14,5,10.02,1200,1147,953,856,1197,572,503,28.5
0.155,0.3,1.27,0.012,0.011,0.02,0.01,0.02,0.003,0.001,0.004,0.037,0.014,0.014,0.38,525,14,7,13.6,1187,1136,916,831,1212,518,415,26.5
0.155,0.3,1.27,0.012,0.011,0.02,0.01,0.02,0.003,0.001,0.004,0.037,0.014,0.014,0.38,524,14,7,14.4,1171,1120,897,828,1208,534,418,28.0
0.155,0.3,1.27,0.012,0.011,0.02,0.01,0.02,0.003,0.001,0.004,0.037,0.014,0.014,0.38,516,12,7,14.75,1170,1122,897,824,1208,522,406,29.0
0.151,0.3,1.23,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.003,0.038,0.017,0.012,0.37,520,12,7,24.5,1176,1124,847,811,1203,544,440,25.5
0.151,0.3,1.23,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.003,0.038,0.017,0.012,0.37,503,14,9,15.45,1139,1086,898,771,1187,529,420,27.0
0.155,0.3,1.27,0.012,0.011,0.02,0.01,0.02,0.003,0.001,0.004,0.037,0.014,0.014,0.38,439,14,7,14.45,1134,1089,899,820,1184,516,397,26.5
0.153,0.23,1.24,0.011,0.01,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.016,0.011,0.37,535,14,7,37.35,1165,1114,878,818,1208,533,406,27.5
0.149,0.26,1.26,0.011,0.005,0.02,0.01,0.03,0.002,0.001,0.004,0.033,0.017,0.016,0.37,561,14,7,11.64,1155,1094,885,818,1191,533,456,27.0
0.149,0.28,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.001,0.004,0.04,0.016,0.013,0.37,558,14,7,11.65,1165,1114,878,818,1209,529,437,27.5
0.144,0.25,1.28,0.012,0.007,0.02,0.01,0.01,0.001,0.001,0.002,0.038,0.015,0.013,0.36,561,14,9,31.42,1186,1132,857,820,1202,532,444,29.0
0.138,0.25,1.24,0.011,0.002,0.02,0.01,0.01,0.002,0.001,0.002,0.034,0.017,0.013,0.37,556,14,9,28.45,1175,1121,852,802,1190,539,448,28.0
0.15,0.3,1.24,0.014,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.032,0.017,0.012,0.36,20,18,11,20.505000000000003,1192,1137,860,821,1207,523,418,28.5
0.15,0.28,1.24,0.014,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.026,0.016,0.014,0.37,560,14,7,19.65,1164,1106,852,779,1181,537,428,27.0
0.153,0.27,1.24,0.017,0.003,0.02,0.01,0.02,0.004,0.002,0.003,0.036,0.018,0.014,0.37,20,16,7,15.65,1170,1117,920,824,1197,518,420,28.0
0.148,0.25,1.27,0.01,0.006,0.02,0.01,0.02,0.001,0.001,0.002,0.03,0.018,0.013,0.36,591,16,9,44.56,1181,1127,837,811,1203,517,375,28.0
0.148,0.25,1.27,0.01,0.006,0.02,0.01,0.02,0.001,0.001,0.002,0.03,0.018,0.013,0.36,567,16,9,44.56,1176,1120,814,796,1192,514,377,28.0
0.156,0.25,1.26,0.017,0.007,0.02,0.01,0.01,0.002,0.002,0.002,0.033,0.02,0.011,0.37,20,12,7,17.6,1150,1103,871,826,1191,516,426,28.5
0.149,0.27,1.24,0.014,0.007,0.02,0.01,0.04,0.002,0.001,0.003,0.04,0.017,0.013,0.37,589,14,7,11.47,1171,1117,920,805,1203,533,430,27.5
0.154,0.23,1.24,0.015,0.008,0.02,0.01,0.01,0.002,0.002,0.002,0.037,0.021,0.012,0.37,20,12,7,7.64,1165,1114,878,848,1197,548,420,27.5
0.153,0.26,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.001,0.002,0.034,0.016,0.012,0.36,517,14,7,15.65,1176,1118,892,790,1195,529,437,29.5
0.15,0.26,1.29,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.017,0.013,0.37,565,14,7,24.6,1158,1110,866,831,1192,568,454,27.5
0.149,0.29,1.24,0.012,0.005,0.02,0.01,0.02,0.002,0.002,0.003,0.031,0.016,0.013,0.37,20,16,11,20.505000000000003,1178,1130,885,855,1193,576,429,28.0
0.149,0.29,1.23,0.014,0.008,0.02,0.01,0.02,0.003,0.002,0.002,0.037,0.018,0.013,0.37,562,16,9,40.15,1181,1129,848,822,1198,536,467,27.0
0.149,0.29,1.23,0.014,0.008,0.02,0.01,0.02,0.003,0.002,0.002,0.037,0.018,0.013,0.37,571,12,7,42.15,1164,1116,838,830,1198,535,418,28.0
0.149,0.29,1.24,0.012,0.005,0.02,0.01,0.02,0.002,0.002,0.003,0.031,0.016,0.013,0.37,20,16,11,20.505000000000003,1181,1132,881,853,1192,570,436,28.5
0.154,0.3,1.23,0.013,0.006,0.02,0.01,0.02,0.004,0.001,0.003,0.033,0.017,0.015,0.37,20,12,7,13.7,1165,1114,879,804,1197,519,420,29.5
0.154,0.3,1.23,0.013,0.006,0.02,0.01,0.02,0.004,0.001,0.003,0.033,0.017,0.015,0.37,20,12,7,11.7,1165,1114,897,815,1197,527,427,27.5
0.154,0.28,1.29,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.037,0.016,0.013,0.38,536,12,7,11.64,1180,1115,868,818,1202,513,454,28.5
0.149,0.26,1.26,0.011,0.005,0.02,0.01,0.03,0.002,0.001,0.004,0.033,0.017,0.016,0.37,525,12,7,15.57,1180,1121,886,795,1208,509,438,29.0
0.154,0.28,1.29,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.003,0.037,0.016,0.013,0.38,553,12,7,11.64,1169,1106,869,818,1193,536,440,28.0
0.149,0.28,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.001,0.004,0.04,0.016,0.013,0.37,549,12,7,11.62,1173,1115,868,777,1198,502,413,28.5
0.149,0.28,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.001,0.004,0.04,0.016,0.013,0.37,509,14,7,11.47,1180,1126,924,813,1208,520,421,28.5
0.151,0.3,1.23,0.012,0.002,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.01,0.38,20,14,7,19.75,1147,1096,846,796,1197,546,450,29.0
0.151,0.3,1.23,0.012,0.002,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.01,0.38,20,14,7,21.85,1164,1113,858,819,1177,555,484,27.5
0.147,0.26,1.24,0.016,0.006,0.02,0.01,0.01,0.002,0.002,0.002,0.039,0.018,0.012,0.36,585,16,9,39.4,1164,1117,872,846,1195,517,376,28.0
0.153,0.23,1.24,0.015,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.033,0.012,0.011,0.37,553,14,7,19.45,1166,1116,864,818,1182,528,399,26.5
0.143,0.29,1.24,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.04,0.014,0.013,0.38,20,14,11,20.505000000000003,1166,1116,865,833,1184,542,410,26.5
0.153,0.26,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.001,0.002,0.034,0.016,0.012,0.36,542,14,7,15.65,1170,1111,896,789,1193,506,418,27.5
0.153,0.26,1.23,0.013,0.005,0.02,0.01,0.02,0.002,0.001,0.002,0.034,0.016,0.012,0.36,558,16,7,15.65,1170,1113,893,792,1192,538,469,27.5
0.151,0.23,1.23,0.01,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.04,0.021,0.012,0.38,565,14,7,15.65,1164,1108,898,795,1212,539,440,27.0
0.149,0.27,1.3,0.011,0.008,0.02,0.01,0.02,0.002,0.001,0.002,0.036,0.019,0.013,0.37,574,14,7,38.15,1151,1106,857,847,1198,552,454,30.5
0.149,0.27,1.3,0.011,0.008,0.02,0.01,0.02,0.002,0.001,0.002,0.036,0.019,0.013,0.37,575,14,7,38.15,1141,1096,856,844,1200,566,479,26.5
0.15,0.3,1.24,0.014,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.032,0.017,0.012,0.36,20,18,11,20.505000000000003,1191,1136,855,818,1205,508,385,28.0
0.152,0.23,1.24,0.014,0.005,0.02,0.01,0.01,0.003,0.002,0.002,0.029,0.014,0.013,0.37,20,16,9,20.505000000000003,1175,1129,880,863,1186,529,481,27.5
0.153,0.23,1.24,0.011,0.01,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.016,0.011,0.37,546,16,11,20.505000000000003,1177,1123,861,821,1198,496,402,28.0
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,564,14,7,24.91,1164,1113,873,824,1192,533,433,29.0
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,563,14,7,24.01,1172,1121,874,826,1195,530,428,29.0
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,586,14,7,23.11,1172,1119,868,823,1193,529,429,26.0
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,568,16,9,26.7,1159,1104,839,775,1192,548,481,27.5
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,558,14,7,22.21,1170,1117,864,819,1194,530,423,30.0
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,562,16,9,32.1,1174,1121,857,811,1193,542,461,27.5
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,552,16,9,35.35,1174,1119,844,806,1194,539,461,28.0
0.153,0.26,1.26,0.014,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.033,0.018,0.015,0.37,20,16,9,35.66,1181,1132,872,840,1198,511,400,27.5
0.159,0.26,1.24,0.017,0.008,0.02,0.01,0.03,0.002,0.002,0.004,0.037,0.019,0.012,0.38,20,16,7,30.52,1153,1106,856,838,1189,521,399,27.0
0.159,0.26,1.24,0.017,0.008,0.02,0.01,0.03,0.002,0.002,0.004,0.037,0.019,0.012,0.38,20,14,7,30.32,1173,1123,857,828,1201,518,397,26.0
0.151,0.26,1.25,0.016,0.005,0.02,0.01,0.02,0.002,0.002,0.004,0.033,0.017,0.017,0.37,48,14,7,39.45,1179,1127,888,814,1186,527,397,25.5
0.151,0.3,1.25,0.017,0.008,0.02,0.01,0.03,0.003,0.002,0.004,0.034,0.016,0.017,0.35,573,14,7,11.7,1195,1127,861,818,1219,562,463,29.5
0.156,0.26,1.24,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.004,0.03,0.017,0.013,0.37,355,18,11,20.505000000000003,1192,1140,882,850,1210,529,459,28.0
0.15,0.24,1.28,0.011,0.007,0.02,0.01,0.03,0.002,0.001,0.003,0.034,0.016,0.013,0.37,80,14,7,11.44,1185,1128,929,802,1215,511,411,26.0
0.149,0.28,1.24,0.012,0.002,0.02,0.01,0.02,0.001,0.001,0.002,0.037,0.016,0.014,0.36,20,16,9,29.36,1179,1127,892,826,1211,544,489,29.5
0.152,0.23,1.24,0.014,0.005,0.02,0.01,0.01,0.003,0.002,0.002,0.029,0.014,0.013,0.37,20,18,11,20.505000000000003,1178,1127,855,833,1192,507,367,28.0
0.151,0.23,1.23,0.01,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.04,0.021,0.012,0.38,539,14,7,15.65,1170,1113,895,793,1197,508,408,27.5
0.152,0.24,1.23,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.002,0.034,0.018,0.012,0.36,545,16,7,13.75,1187,1125,902,786,1224,503,402,27.5
0.155,0.24,1.23,0.015,0.004,0.02,0.01,0.01,0.002,0.002,0.002,0.031,0.02,0.012,0.37,20,18,11,20.505000000000003,1176,1123,855,817,1186,546,412,28.0
0.155,0.24,1.23,0.015,0.004,0.02,0.01,0.01,0.002,0.002,0.002,0.031,0.02,0.012,0.37,20,18,11,20.505000000000003,1172,1120,860,816,1188,554,426,27.0
0.15,0.3,1.24,0.014,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.032,0.017,0.012,0.36,20,14,7,20.505000000000003,1165,1114,878,818,1185,517,373,26.5
0.152,0.29,1.25,0.013,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.035,0.019,0.011,0.37,20,16,9,20.505000000000003,1165,1117,859,840,1199,515,368,29.0
0.152,0.29,1.25,0.013,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.035,0.019,0.011,0.37,20,16,9,20.505000000000003,1184,1134,863,843,1199,538,399,28.5
0.152,0.29,1.25,0.013,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.035,0.019,0.011,0.37,20,16,9,20.505000000000003,1178,1128,852,837,1194,517,394,28.0
0.152,0.25,1.25,0.013,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.03,0.015,0.014,0.37,590,16,9,44.55,1174,1123,856,828,1201,534,393,25.5
0.149,0.27,1.3,0.011,0.008,0.02,0.01,0.02,0.002,0.001,0.002,0.036,0.019,0.013,0.37,566,16,9,44.6,1158,1109,859,829,1197,547,414,29.5
0.152,0.23,1.23,0.014,0.009,0.02,0.01,0.02,0.004,0.001,0.002,0.026,0.015,0.011,0.37,558,14,9,23.45,1166,1118,887,826,1199,521,403,27.5
0.144,0.23,1.28,0.013,0.003,0.02,0.01,0.02,0.002,0.002,0.002,0.027,0.014,0.014,0.36,20,16,9,45.65,1206,1114,884,847,1224,499,397,25.5
0.153,0.23,1.24,0.011,0.01,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.016,0.011,0.37,20,14,9,44.6,1185,1132,860,835,1199,503,391,30.0
0.156,0.26,1.24,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.004,0.03,0.017,0.013,0.37,341,18,11,20.505000000000003,1183,1132,877,840,1190,555,405,26.0
0.156,0.26,1.24,0.013,0.005,0.02,0.01,0.02,0.002,0.002,0.004,0.03,0.017,0.013,0.37,362,18,11,20.505000000000003,1186,1134,875,837,1194,535,400,27.0
0.152,0.27,1.24,0.012,0.006,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.013,0.37,20,14,5,9.64,1195,1143,946,861,1197,532,435,28.5
0.152,0.27,1.24,0.012,0.006,0.02,0.01,0.02,0.003,0.001,0.002,0.033,0.015,0.013,0.37,20,14,5,7.84,1165,1114,878,818,1197,504,380,29.5
0.151,0.3,1.24,0.01,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.039,0.018,0.012,0.38,523,14,7,15.54,1159,1105,888,810,1196,544,455,26.5
0.151,0.3,1.24,0.01,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.039,0.018,0.012,0.38,548,12,7,19.6,1148,1099,850,811,1200,532,435,28.5
0.151,0.3,1.24,0.01,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.039,0.018,0.012,0.38,564,12,7,21.6,1146,1101,866,836,1197,551,446,28.0
0.151,0.3,1.23,0.012,0.002,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.01,0.38,20,14,7,21.7,1163,1112,856,823,1184,529,420,25.5
0.146,0.29,1.24,0.013,0.006,0.02,0.01,0.01,0.002,0.002,0.003,0.034,0.017,0.013,0.37,541,14,7,20.01,1168,1115,846,805,1190,535,435,26.5
0.163,0.29,1.26,0.014,0.001,0.02,0.01,0.02,0.002,0.002,0.002,0.023,0.02,0.012,0.38,561,16,7,15.45,1164,1112,903,819,1194,547,447,25.5
0.153,0.23,1.24,0.015,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.033,0.012,0.011,0.37,544,16,7,15.45,1165,1115,903,822,1187,522,396,26.0
0.153,0.23,1.24,0.015,0.004,0.02,0.01,0.02,0.002,0.001,0.002,0.033,0.012,0.011,0.37,553,14,7,19.45,1146,1097,864,811,1200,519,412,26.0
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,574,14,7,26.0,1170,1121,866,837,1194,534,432,28.0
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,567,14,7,25.56,1165,1116,866,838,1196,529,422,29.0
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,559,14,7,27.8,1148,1102,866,835,1200,533,419,29.5
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,582,14,7,27.5,1139,1095,862,833,1196,528,424,29.5
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,573,14,7,27.2,1183,1132,863,834,1201,525,447,28.5
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,569,14,7,13.41,1170,1113,920,800,1191,533,419,27.5
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,565,14,7,20.31,1177,1125,875,825,1194,547,463,28.0
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,558,14,7,21.25,1179,1126,866,823,1194,541,484,28.5
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,573,14,7,26.8,1168,1119,865,835,1193,533,440,27.5
0.157,0.26,1.25,0.011,0.009,0.02,0.01,0.02,0.004,0.002,0.003,0.04,0.019,0.011,0.38,581,14,7,26.4,1176,1126,863,836,1199,509,402,26.5
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,572,16,9,27.9,1175,1121,847,793,1192,515,433,27.5
0.157,0.25,1.24,0.015,0.009,0.02,0.01,0.03,0.003,0.002,0.004,0.037,0.016,0.013,0.37,354,18,11,20.505000000000003,1186,1135,874,842,1195,540,400,26.5
0.155,0.24,1.24,0.012,0.01,0.02,0.01,0.03,0.002,0.002,0.004,0.031,0.015,0.011,0.37,548,12,7,25.65,1165,1114,855,825,1224,521,420,26.5
0.161,0.21,1.24,0.013,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.032,0.012,0.011,0.38,471,14,7,11.85,1183,1127,904,806,1216,504,396,26.5
0.157,0.26,1.25,0.013,0.006,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.02,0.011,0.37,559,12,7,13.75,1170,1113,896,791,1193,536,436,30.0
0.153,0.23,1.23,0.016,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.035,0.016,0.011,0.36,20,14,7,11.64,1143,1088,919,782,1196,499,424,29.0
0.153,0.23,1.23,0.016,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.035,0.016,0.011,0.36,20,14,7,9.64,1196,1132,950,775,1197,510,406,28.5
0.153,0.23,1.23,0.016,0.008,0.02,0.01,0.02,0.001,0.001,0.003,0.035,0.016,0.011,0.36,20,14,7,9.64,1191,1130,964,790,1197,539,432,25.5
0.145,0.29,1.24,0.012,0.005,0.02,0.01,0.02,0.003,0.002,0.002,0.037,0.017,0.013,0.37,352,18,11,20.505000000000003,1193,1137,850,827,1201,561,420,28.5
0.156,0.25,1.26,0.017,0.007,0.02,0.01,0.01,0.002,0.002,0.002,0.033,0.02,0.011,0.37,20,16,9,19.56,1162,1092,878,818,1190,529,480,28.0
0.143,0.29,1.24,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.003,0.04,0.014,0.013,0.38,20,14,11,20.505000000000003,1149,1103,877,843,1184,557,434,27.5
0.151,0.23,1.28,0.014,0.007,0.02,0.01,0.02,0.003,0.001,0.002,0.031,0.017,0.014,0.36,622,14,9,35.5,1175,1120,833,808,1185,527,451,27.5
0.151,0.23,1.28,0.014,0.007,0.02,0.01,0.02,0.003,0.001,0.002,0.031,0.017,0.014,0.36,618,14,9,39.7,1173,1120,834,814,1188,526,414,26.0
0.15,0.26,1.29,0.015,0.005,0.02,0.01,0.02,0.002,0.001,0.002,0.035,0.017,0.013,0.37,400,14,7,24.6,1176,1123,857,817,1194,529,484,26.5
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,543,14,7,39.05,1159,1112,861,842,1196,541,475,27.5
0.142,0.27,1.3,0.013,0.008,0.02,0.01,0.03,0.003,0.002,0.003,0.028,0.016,0.013,0.37,66,12,7,15.65,1169,1115,906,813,1205,522,419,28.0
0.142,0.27,1.3,0.013,0.008,0.02,0.01,0.03,0.003,0.002,0.003,0.028,0.016,0.013,0.37,65,12,7,15.5,1185,1130,893,818,1208,507,386,27.5
0.151,0.3,1.24,0.01,0.003,0.02,0.01,0.01,0.001,0.001,0.002,0.039,0.018,0.012,0.38,571,14,7,24.6,1151,1098,859,799,1199,548,463,29.0
0.154,0.23,1.24,0.013,0.007,0.02,0.01,0.02,0.001,0.001,0.002,0.031,0.013,0.014,0.37,606,12,7,35.62,1168,1120,858,843,1210,544,457,29.5
0.151,0.25,1.26,0.016,0.009,0.02,0.01,0.02,0.001,0.002,0.002,0.037,0.018,0.013,0.37,604,12,7,35.62,1186,1134,850,838,1206,537,430,29.5
0.15,0.27,1.25,0.013,0.01,0.02,0.01,0.02,0.001,0.001,0.002,0.033,0.016,0.012,0.36,561,12,7,29.6,1186,1134,859,832,1203,548,443,28.5
0.152,0.24,1.24,0.014,0.005,0.02,0.01,0.02,0.001,0.001,0.002,0.039,0.017,0.012,0.37,558,12,7,29.6,1184,1130,859,826,1204,555,464,27.5
0.152,0.24,1.24,0.014,0.005,0.02,0.01,0.02,0.001,0.001,0.002,0.039,0.017,0.012,0.37,563,14,7,27.55,1165,1114,878,818,1204,564,467,28.0
0.151,0.3,1.23,0.012,0.002,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.01,0.38,20,14,7,11.64,1131,1114,914,773,1196,498,404,26.5
0.156,0.25,1.23,0.015,0.008,0.02,0.01,0.02,0.002,0.002,0.002,0.03,0.017,0.012,0.37,20,16,9,47.57,1192,1140,864,840,1207,502,359,28.0
0.155,0.24,1.23,0.015,0.004,0.02,0.01,0.01,0.002,0.002,0.002,0.031,0.02,0.012,0.37,20,16,9,20.505000000000003,1180,1131,864,842,1214,493,354,28.5
0.144,0.24,1.24,0.014,0.01,0.02,0.01,0.01,0.004,0.001,0.002,0.036,0.016,0.012,0.36,20,16,9,39.67,1167,1119,865,838,1198,519,416,25.5
0.151,0.23,1.28,0.014,0.007,0.02,0.01,0.02,0.003,0.001,0.002,0.031,0.017,0.014,0.36,620,14,9,34.7,1170,1116,838,808,1187,532,444,29.0
0.153,0.25,1.24,0.013,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.032,0.017,0.013,0.37,20,16,11,20.505000000000003,1159,1110,866,828,1185,541,426,25.5
0.153,0.25,1.24,0.016,0.01,0.02,0.01,0.02,0.003,0.001,0.003,0.039,0.017,0.012,0.37,591,14,7,15.4,1171,1116,907,804,1203,515,409,27.0
0.149,0.25,1.24,0.018,0.008,0.02,0.01,0.02,0.003,0.002,0.002,0.034,0.016,0.016,0.37,577,16,9,20.505000000000003,1173,1124,864,841,1188,515,383,27.5
0.148,0.25,1.27,0.01,0.006,0.02,0.01,0.02,0.001,0.001,0.002,0.03,0.018,0.013,0.36,587,16,9,20.505000000000003,1175,1123,850,827,1190,534,382,26.5
0.148,0.29,1.25,0.015,0.004,0.02,0.01,0.03,0.004,0.001,0.003,0.036,0.019,0.012,0.37,581,14,7,13.55,1160,1100,895,780,1197,575,434,28.5
0.142,0.27,1.24,0.009,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.037,0.016,0.016,0.38,553,14,7,39.65,1166,1118,855,842,1194,539,444,28.0
0.16,0.27,1.24,0.011,0.009,0.02,0.01,0.01,0.002,0.002,0.003,0.03,0.016,0.013,0.37,563,14,7,35.05,1165,1114,878,818,1205,529,496,27.5
0.152,0.24,1.23,0.014,0.007,0.02,0.01,0.02,0.002,0.002,0.002,0.034,0.018,0.012,0.36,556,14,7,13.75,1181,1120,891,779,1216,537,448,27.5
0.156,0.3,1.27,0.01,0.005,0.02,0.01,0.02,0.002,0.001,0.002,0.03,0.016,0.014,0.38,20,12,5,7.83,1195,1144,878,862,1197,573,474,29.0
